,Cone_Type,Cone_X,Cone_Y
0,LEFT,9.09375,9.03125
1,LEFT,10.6875,9.03125
2,LEFT,12.28125,9.15625
3,LEFT,13.875,9.125
4,LEFT,15.53125,9.125
5,LEFT,17.34375,8.6875
6,LEFT,18.71875,7.6875
7,LEFT,19.5,6.3125
8,LEFT,20.0,4.6875
9,LEFT,20.09375,3.09375
10,LEFT,19.84375,1.46875
11,LEFT,19.96875,-0.125
12,LEFT,20.78125,-1.59375
13,LEFT,22.0,-2.75
14,LEFT,23.25,-4.09375
15,LEFT,24.65625,-4.90625
16,LEFT,25.71875,-6.1875
17,LEFT,26.59375,-7.59375
18,LEFT,27.46875,-9.0625
19,LEFT,27.90625,-10.625
20,LEFT,27.71875,-12.25
21,LEFT,27.03125,-13.875
22,LEFT,25.84375,-15.0
23,LEFT,24.0,-15.71875
24,LEFT,22.4375,-15.8125
25,LEFT,20.71875,-15.8125
26,LEFT,19.0625,-15.71875
27,LEFT,17.40625,-15.5625
28,LEFT,15.84375,-15.5625
29,LEFT,13.84375,-15.46875
30,LEFT,12.21875,-15.28125
31,LEFT,10.75,-14.6875
32,LEFT,9.75,-13.28125
33,LEFT,9.125,-11.65625
34,LEFT,8.78125,-10.0625
35,LEFT,8.15625,-8.59375
36,LEFT,6.53125,-7.625
37,LEFT,4.8125,-7.3125
38,LEFT,3.03125,-7.125
39,LEFT,1.21875,-7.0
40,LEFT,-0.34375,-6.90625
41,LEFT,-1.96875,-6.84375
42,LEFT,-3.875,-6.90625
43,LEFT,-5.8125,-7.03125
44,LEFT,-7.59375,-6.78125
45,LEFT,-9.25,-6.25
46,LEFT,-10.5625,-5.09375
47,LEFT,-10.96875,-3.5625
48,LEFT,-11.03125,-2.0
49,LEFT,-11.0625,-0.34375
50,LEFT,-10.84375,1.375
51,LEFT,-10.78125,2.96875
52,LEFT,-10.90625,4.6875
53,LEFT,-10.78125,6.3125
54,LEFT,-10.1875,7.8125
55,LEFT,-8.84375,8.75
56,LEFT,-7.15625,8.84375
57,LEFT,-5.4375,8.875
58,LEFT,-3.8125,8.96875
59,LEFT,-2.25,9.3125
60,LEFT,-0.53125,9.625
61,LEFT,1.34375,9.5625
62,LEFT,3.0625,9.5
63,LEFT,4.6875,9.5
64,LEFT,6.34375,9.3125
65,RIGHT,6.875,11.21875
66,RIGHT,8.5,11.28125
67,RIGHT,10.0625,11.09375
68,RIGHT,11.65625,11.09375
69,RIGHT,13.5,11.125
70,RIGHT,15.1875,11.09375
71,RIGHT,16.8125,10.875
72,RIGHT,18.34375,10.5
73,RIGHT,19.875,9.875
74,RIGHT,21.1875,8.84375
75,RIGHT,22.15625,7.25
76,RIGHT,22.46875,5.625
77,RIGHT,22.40625,3.90625
78,RIGHT,22.28125,2.03125
79,RIGHT,22.4375,0.25
80,RIGHT,23.25,-1.21875
81,RIGHT,24.75,-2.25
82,RIGHT,26.09375,-3.125
83,RIGHT,27.25,-4.3125
84,RIGHT,28.34375,-5.625
85,RIGHT,29.125,-7.21875
86,RIGHT,29.625,-8.875
87,RIGHT,29.8125,-10.9375
88,RIGHT,29.8125,-12.75
89,RIGHT,29.375,-14.28125
90,RIGHT,28.65625,-15.71875
91,RIGHT,27.375,-16.71875
92,RIGHT,25.84375,-17.21875
93,RIGHT,24.28125,-17.5
94,RIGHT,22.40625,-17.625
95,RIGHT,20.8125,-17.5625
96,RIGHT,19.09375,-17.5
97,RIGHT,16.9375,-17.46875
98,RIGHT,15.25,-17.5
99,RIGHT,13.625,-17.65625
100,RIGHT,11.875,-17.5625
101,RIGHT,10.1875,-17.3125
102,RIGHT,8.46875,-17.03125
103,RIGHT,7.125,-16.09375
104,RIGHT,7.03125,-14.4375
105,RIGHT,6.71875,-12.90625
106,RIGHT,6.0625,-11.46875
107,RIGHT,4.8125,-10.46875
108,RIGHT,3.1875,-9.625
109,RIGHT,1.53125,-9.375
110,RIGHT,-0.15625,-9.40625
111,RIGHT,-1.75,-9.40625
112,RIGHT,-3.65625,-9.375
113,RIGHT,-5.3125,-9.28125
114,RIGHT,-7.03125,-9.15625
115,RIGHT,-8.78125,-8.90625
116,RIGHT,-10.4375,-8.78125
117,RIGHT,-11.9375,-8.34375
118,RIGHT,-12.59375,-6.875
119,RIGHT,-12.75,-4.96875
120,RIGHT,-13.125,-3.4375
121,RIGHT,-13.4375,-1.75
122,RIGHT,-13.53125,-0.15625
123,RIGHT,-13.5,1.78125
124,RIGHT,-13.375,3.71875
125,RIGHT,-13.34375,5.65625
126,RIGHT,-12.96875,7.5625
127,RIGHT,-12.0625,9.0
128,RIGHT,-10.9375,10.125
129,RIGHT,-9.375,10.59375
130,RIGHT,-7.84375,11.0
131,RIGHT,-6.25,11.15625
132,RIGHT,-4.5,11.28125
133,RIGHT,-2.78125,11.40625
134,RIGHT,-1.0,11.46875
135,RIGHT,0.90625,11.46875
136,RIGHT,2.875,11.4375
137,RIGHT,4.5,11.40625
